adcode,name,longitude,latitude,x,y,xrev
110000,北京市,116.407394,39.904211,9930.120192307477,4437.419523681866,-20779.640986872364
520000,贵州省,106.70546,26.600055,10609.883957764712,2957.973618072826,-25185.4560819605
820000,澳门特别行政区,113.543028,22.186835,11691.311448556396,2467.215672995217,-25377.209583666754
350000,福建省,119.295143,26.100779,11913.004443109056,2902.453235271477,-24037.17334006574
500000,重庆市,106.551643,29.562849,10306.205940284337,3287.4416017963354,-24514.788218410722
460000,海南省,110.349228,20.017377,11529.724078379882,2225.9680692020283,-26084.500719067342
440000,广东省,113.26641,23.132324,11582.754851502352,2572.3557382386184,-25231.26394313277
450000,广西壮族自治区,108.327546,22.815478,11103.701713147182,2537.1218972186693,-25796.724488079475
140000,山西省,112.562678,37.873499,9880.655657168641,4211.600722859692,-21719.83661772829
620000,甘肃省,103.826447,36.05956,9333.596828724636,4009.88746674825,-23029.01361811911
710000,台湾省,121.509062,25.044332,12241.631141165426,2784.9744422805534,-24027.163451451495
320000,江苏省,118.762765,32.060875,11192.416789458297,3565.2265539424866,-22734.63134052577
410000,河南省,113.753394,34.765869,10391.491740497571,3866.026717289716,-22494.885492159992
130000,河北省,114.530235,38.037433,10030.953760938515,4229.830476411146,-21499.09028322035
340000,安徽省,117.329949,31.733806,11096.740522668491,3528.8558970664217,-22951.059056283477
430000,湖南省,112.9836,28.112743,11081.706180405507,3126.187225013689,-24227.969072870037
310000,上海市,121.473662,31.230372,11550.624851970086,3472.8731372397638,-22680.869269852225
420000,湖北省,114.341745,30.546557,10950.372709894727,3396.831688090788,-23526.398442776604
230000,黑龙江省,126.661665,45.742366,9829.725127441896,5086.632785392038,-18108.491584608135
630000,青海省,101.780268,36.620939,9083.939895152047,4072.3138140524234,-23046.240409096485
360000,江西省,115.81635,28.63666,11303.582565673929,3184.4477310186526,-23832.12775193334
150000,内蒙古自治区,111.76629,40.81739,9405.93181114999,4538.966659226441,-20890.640187562647
210000,辽宁省,123.431382,41.836175,10226.468826477043,4652.2573705609975,-19600.052742662767
640000,宁夏回族自治区,106.259126,38.472641,9250.969432787928,4278.2263832005965,-22090.79970432745
220000,吉林省,125.32568,43.897016,10042.420188020364,4881.426569987194,-18804.590797177007
370000,山东省,117.019915,36.671156,10437.278653029465,4077.898034129366,-21671.95946332541
610000,陕西省,108.954347,34.265502,10013.04828946368,3810.385013340072,-23071.426845859976
650000,新疆维吾尔自治区,87.627704,43.793026,7033.910335500607,4869.862696283046,-21863.43154601461
120000,天津市,117.200983,39.084158,10116.452983782605,4346.228165640634,-20957.71534603199
510000,四川省,104.075809,30.651239,9956.452838752808,3408.472513430702,-24483.087496225617
810000,香港特别行政区,114.171203,22.277468,11748.394774082732,2477.294224446588,-25296.16644219685
540000,西藏自治区,91.117525,29.647535,8805.942558096462,3296.858836227622,-25985.82028790629
530000,云南省,102.710002,25.045806,10347.564403791337,2785.138353712806,-25920.7942061606
330000,浙江省,120.152585,30.266597,11539.913146589219,3365.699636141434,-23035.861754734113
110100,北京城区,116.407394,39.904211,9930.120192307477,4437.419523681866,-20779.640986872364
110114,昌平区,116.231254,40.220804,9869.127782239613,4472.625230650011,-20698.261618947276
110105,朝阳区,116.443205,39.921506,9930.667187781213,4439.342758567079,-20771.340607360085
110115,大兴区,116.341483,39.726917,9950.131494784184,4417.7041142722765,-20838.949456868344
110101,东城区,116.41649,39.928341,9927.397713114031,4440.102822772944,-20771.545166207026
110111,房山区,116.143486,39.748823,9930.04104008507,4420.14010059176,-20849.255307457188
110106,丰台区,116.287039,39.858421,9926.479821961168,4432.32759391061,-20803.795595112788
110108,海淀区,116.298262,39.95993,9912.73799948435,4443.615575984217,-20772.034227071937
110116,怀柔区,116.631931,40.316053,9889.21272253593,4483.2170895445815,-20635.160402289854
110118,密云区,116.843047,40.376894,9898.180866453604,4489.982717393741,-20598.671136415658
110109,门头沟区,116.101719,39.940338,9898.820367859238,4441.436910597048,-20794.741821597454
110117,平谷区,117.121351,40.140595,9956.469068824113,4463.7058466137,-20647.078740120487
110107,石景山区,116.222933,39.906611,9914.037467372042,4437.686407967759,-20794.64795406656
110113,顺义区,116.654642,40.130211,9918.309661126843,4462.551127270072,-20689.91489632937
110112,通州区,116.656434,39.909946,9950.531497778336,4438.057265923363,-20756.658979175554
110102,西城区,116.365873,39.912235,9925.41561453384,4438.311806811034,-20780.74873686653
110119,延庆区,115.974981,40.456591,9813.01343863796,4498.845166115729,-20647.73600446534
120100,天津城区,117.200983,39.084158,10116.452983782605,4346.228165640634,-20957.71534603199
120115,宝坻区,117.309874,39.717564,10034.314235332362,4416.664043969797,-20758.94298630314
120113,北辰区,117.135488,39.224791,10090.612330082182,4361.866806381431,-20921.51303733496
120116,滨海新区,117.698407,39.01727,10169.015377911799,4338.7901005928115,-20934.596211735698
120110,东丽区,117.31362,39.086802,10125.79593619609,4346.522183162258,-20947.20766756784
120101,和平区,117.214699,39.117196,10112.89670120306,4349.902050239515,-20946.713087438737
120105,河北区,117.196648,39.147869,10106.936104539795,4353.312942615006,-20939.14806020804
120102,河东区,117.251584,39.128294,10114.485448335394,4351.1361676581955,-20940.231572807286
120103,河西区,117.223371,39.109563,10114.740435950367,4349.053247008591,-20948.233831716214
120106,红桥区,117.151533,39.167345,10100.249152089733,4355.478708595023,-20937.24222032196
120119,蓟州区,117.408296,40.045851,9994.766479199903,4453.170144620953,-20651.41488188522
120112,津南区,117.35726,38.937928,10150.908126210416,4329.967128504779,-20987.57385126375
120118,静海区,116.974232,38.94745,10116.419060717637,4331.025991909058,-21017.88120002996
120104,南开区,117.150738,39.138205,10104.36393632593,4352.238288557146,-20945.982644310498
120117,宁河区,117.826724,39.330087,10134.91465121284,4373.575909617819,-20830.63501845822
120114,武清区,117.044387,39.384119,10059.837946815425,4379.584364507544,-20881.771075867167
120111,西青区,117.008826,39.141152,10091.701450826728,4352.566000219865,-20957.34541592521
130600,保定市,115.464589,38.874434,9996.136468906452,4322.906482317922,-21170.207775442977
130900,沧州市,116.838834,38.304477,10195.72449174199,4259.526246095256,-21219.00887530887
130800,承德市,117.962749,40.952942,9907.094856010892,4554.040283693646,-20327.484944803353
130400,邯郸市,114.538959,36.625594,10222.042138232924,4072.8314583652696,-21906.197911197356
131100,衡水市,115.670177,37.73892,10171.949349923083,4196.6352977300585,-21486.1829443874
131000,廊坊市,116.683752,39.538047,10006.686878195502,4396.701432990399,-20866.56851858314
130300,秦皇岛市,119.518197,39.888701,10197.794532582759,4435.694783984286,-20518.917431619586
